name,symbol,code
Uppercase L With Acute,Ĺ,&#313;
Lowercase L With Acute,ĺ,&#314;
Uppercase L With Cedilla,Ļ,&#315;
Lowercase L With Cedilla,ļ,&#316;
Uppercase L With Caron,Ľ,&#317;
Lowercase L With Caron,ľ,&#318;
Uppercase L With Middle Dot,Ŀ,&#319;
Lowercase L With Middle Dot,ŀ,&#320;
Uppercase L With Stroke,Ł,&#321;
Lowercase L With Stroke,ł,&#322;
Uppercase N With Acute,Ń,&#323;
Lowercase N With Acute,ń,&#324;
Uppercase N With Cedilla,Ņ,&#325;
Lowercase N With Cedilla,ņ,&#326;
Uppercase N With Caron,Ň,&#327;
Lowercase N With Caron,ň,&#328;
Lowercase N Preceded by Apostrophe,ŉ,&#329;
Uppercase Eng,Ŋ,&#330;
Lowercase Eng,ŋ,&#331;
Uppercase O With Macron,Ō,&#332;
Lowercase O With Macron,ō,&#333;
Uppercase O With Breve,Ŏ,&#334;
Lowercase O With Breve,ŏ,&#335;
Uppercase O With Double Acute,Ő,&#336;
Lowercase O With Double Acute,ő,&#337;
Uppercase Ligature OE,Œ,&#338;
Lowercase Ligature oe,œ,&#339;
Uppercase R With Acute,Ŕ,&#340;
Lowercase R With Acute,ŕ,&#341;
Uppercase R With Cedilla,Ŗ,&#342;
Lowercase R With Cedilla,ŗ,&#343;
Uppercase R With Caron,Ř,&#344;
Lowercase R With Caron,ř,&#345;
Uppercase S With Acute,Ś,&#346;
Lowercase S With Acute,ś,&#347;
Uppercase S With Circumflex,Ŝ,&#348;
Lowercase S With Circumflex,ŝ,&#349;
Uppercase S With Cedilla,Ş,&#350;
Lowercase S With Cedilla,ş,&#351;
Uppercase S With Caron,Š,&#352;
Lowercase S With Caron,š,&#353;
Uppercase T With Cedilla,Ţ,&#354;
Lowercase T With Cedilla,ţ,&#355;
Uppercase T With Caron,Ť,&#356;
Lowercase T With Caron,ť,&#357;
Uppercase T With Stroke,Ŧ,&#358;
Lowercase T With Stroke,ŧ,&#359;
Uppercase U With Tilde,Ũ,&#360;
Lowercase U With Tilde,ũ,&#361;
Uppercase U With Macron,Ū,&#362;
Lowercase U With Macron,ū,&#363;
Uppercase U With Breve,Ŭ,&#364;
Lowercase U With Breve,ŭ,&#365;
Uppercase U With Ring Above,Ů,&#366;
Lowercase U With Ring Above,ů,&#367;
Uppercase U With Double Acute,Ű,&#368;
Lowercase U With Double Acute,ű,&#369;
Uppercase U With Ogonek,Ų,&#370;
Lowercase U With Ogonek,ų,&#371;
Uppercase W With Circumflex,Ŵ,&#372;
Lowercase W With Circumflex,ŵ,&#373;
Uppercase Y With Circumflex,Ŷ,&#374;
Lowercase Y With Circumflex,ŷ,&#375;
Uppercase Y With Diaeresis,Ÿ,&#376;
Uppercase Z With Acute,Ź,&#377;
Lowercase Z With Acute,ź,&#378;
Uppercase Z With Dot Above,Ż,&#379;
Lowercase Z With Dot Above,ż,&#380;
Uppercase Z With Caron,Ž,&#381;
Lowercase Z With Caron,ž,&#382;
Lowercase Long S,ſ,&#383;
Lowercase B With Stroke,ƀ,&#384;
Uppercase B With Hook,Ɓ,&#385;
Uppercase B With Topbar,Ƃ,&#386;
Lowercase B With Topbar,ƃ,&#387;
Uppercase Tone Six,Ƅ,&#388;
Lowercase Tone Six,ƅ,&#389;
Uppercase Open O,Ɔ,&#390;
Uppercase C With Hook,Ƈ,&#391;
Lowercase C With Hook,ƈ,&#392;
Uppercase African D,Ɖ,&#393;
Uppercase D With Hook,Ɗ,&#394;
Uppercase D With Topbar,Ƌ,&#395;
Lowercase D With Topbar,ƌ,&#396;
Lowercase Turned Delta,ƍ,&#397;
Uppercase Reversed E,Ǝ,&#398;
Uppercase Schwa,Ə,&#399;
Uppercase Open E,Ɛ,&#400;
Uppercase F With Hook,Ƒ,&#401;
Lowercase F With Hook,ƒ,&#402;
Uppercase G With Hook,Ɠ,&#403;
Uppercase Gamma,Ɣ,&#404;
Lowercase Hv,ƕ,&#405;
Uppercase Iota,Ɩ,&#406;
Uppercase I With Stroke,Ɨ,&#407;
Uppercase K With Hook,Ƙ,&#408;
Lowercase K With Hook,ƙ,&#409;
Lowercase L With Bar,ƚ,&#410;
Lowercase Lambda With Stroke,ƛ,&#411;
Uppercase Turned M,Ɯ,&#412;
Uppercase N With Left Hook,Ɲ,&#413;
Lowercase N With Long Right Leg,ƞ,&#414;
Uppercase O With Middle Tilde,Ɵ,&#415;
Uppercase O With Horn,Ơ,&#416;
Lowercase O With Horn,ơ,&#417;
Uppercase Oi,Ƣ,&#418;
Lowercase Oi,ƣ,&#419;
Uppercase P With Hook,Ƥ,&#420;
Lowercase P With Hook,ƥ,&#421;
Latin Letter Yr,Ʀ,&#422;
Uppercase Tone Two,Ƨ,&#423;
Lowercase Tone Two,ƨ,&#424;
Uppercase Esh,Ʃ,&#425;
Latin Letter Reversed Esh Loop,ƪ,&#426;
Lowercase T With Palatal Hook,ƫ,&#427;
Uppercase T With Hook,Ƭ,&#428;
Lowercase T With Hook,ƭ,&#429;
Uppercase T With Retroflex Hook,Ʈ,&#430;
Uppercase U With Horn,Ư,&#431;
Lowercase U With Horn,ư,&#432;
Uppercase Upsilon,Ʊ,&#433;
Uppercase v With Hook,Ʋ,&#434;
Uppercase Y With Hook,Ƴ,&#435;
Lowercase Y With Hook,ƴ,&#436;
Uppercase Z With Stroke,Ƶ,&#437;
Lowercase Z With Stroke,ƶ,&#438;
Uppercase Ezh,Ʒ,&#439;
Uppercase Ezh Reversed,Ƹ,&#440;
Lowercase Ezh Reversed,ƹ,&#441;
Lowercase Ezh With Tail,ƺ,&#442;
Latin Letter Two With Stroke,ƻ,&#443;
Uppercase Tone Five,Ƽ,&#444;
Lowercase Tone Five,ƽ,&#445;
Latin Letter Inverted Glottal Stop With Stroke,ƾ,&#446;
Latin Letter Wynn,ƿ,&#447;
Latin Letter Dental Click,ǀ,&#448;
Latin Letter Lateral Click,ǁ,&#449;
Latin Letter Alveolar Click,ǂ,&#450;
Latin Letter Retroflex Click,ǃ,&#451;
Uppercase Dz With Caron,Ǆ,&#452;
Uppercase D With Small Letter Z With Caron,ǅ,&#453;
Lowercase Dz With Caron,ǆ,&#454;
Uppercase Lj,Ǉ,&#455;
Uppercase L With Small Letter J,ǈ,&#456;
Lowercase Lj,ǉ,&#457;
Uppercase Nj,Ǌ,&#458;
Uppercase N With Small Letter J,ǋ,&#459;
Lowercase Nj,ǌ,&#460;
Uppercase a With Caron,Ǎ,&#461;
Lowercase a With Caron,ǎ,&#462;
Uppercase I With Caron,Ǐ,&#463;
Lowercase I With Caron,ǐ,&#464;
Uppercase O With Caron,Ǒ,&#465;
Lowercase O With Caron,ǒ,&#466;
Uppercase U With Caron,Ǔ,&#467;
Lowercase U With Caron,ǔ,&#468;
Uppercase U With Diaeresis and Macron,Ǖ,&#469;
Lowercase U With Diaeresis and Macron,ǖ,&#470;
Uppercase U With Diaeresis and Acute,Ǘ,&#471;
Lowercase U With Diaeresis and Acute,ǘ,&#472;
Uppercase U With Diaeresis and Caron,Ǚ,&#473;
Lowercase U With Diaeresis and Caron,ǚ,&#474;
Uppercase U With Diaeresis and Grave,Ǜ,&#475;
Lowercase U With Diaeresis and Grave,ǜ,&#476;
Lowercase Turned E,ǝ,&#477;
Uppercase a With Diaeresis and Macron,Ǟ,&#478;
Lowercase a With Diaeresis and Macron,ǟ,&#479;
Uppercase a With Dot Above and Macron,Ǡ,&#480;
Lowercase a With Dot Above and Macron,ǡ,&#481;
Uppercase Ae With Macron,Ǣ,&#482;
Lowercase Ae With Macron,ǣ,&#483;
Uppercase G With Stroke,Ǥ,&#484;
Lowercase G With Stroke,ǥ,&#485;
Uppercase G With Caron,Ǧ,&#486;
Lowercase G With Caron,ǧ,&#487;
Uppercase K With Caron,Ǩ,&#488;
Lowercase K With Caron,ǩ,&#489;
Uppercase O With Ogonek,Ǫ,&#490;
Lowercase O With Ogonek,ǫ,&#491;
Uppercase O With Ogonek and Macron,Ǭ,&#492;
Lowercase O With Ogonek and Macron,ǭ,&#493;
Uppercase Ezh With Caron,Ǯ,&#494;
Lowercase Ezh With Caron,ǯ,&#495;
Lowercase J With Caron,ǰ,&#496;
Uppercase Dz,Ǳ,&#497;
Uppercase D With Small Letter Z,ǲ,&#498;
Lowercase Dz,ǳ,&#499;
Uppercase G With Acute,Ǵ,&#500;
Lowercase G With Acute,ǵ,&#501;
Uppercase Hwair,Ƕ,&#502;
Uppercase Wynn,Ƿ,&#503;
Uppercase N With Grave,Ǹ,&#504;
Lowercase N With Grave,ǹ,&#505;
Uppercase a With Ring Above and Acute,Ǻ,&#506;
Lowercase a With Ring Above and Acute,ǻ,&#507;
Uppercase Ae With Acute,Ǽ,&#508;
Lowercase Ae With Acute,ǽ,&#509;
Uppercase O With Stroke and Acute,Ǿ,&#510;
Lowercase O With Stroke and Acute,ǿ,&#511;
Uppercase a With Double Grave,Ȁ,&#512;
Lowercase a With Double Grave,ȁ,&#513;
Uppercase a With Inverted Breve,Ȃ,&#514;
Lowercase a With Inverted Breve,ȃ,&#515;
Uppercase E With Double Grave,Ȅ,&#516;
Lowercase E With Double Grave,ȅ,&#517;
Uppercase E With Inverted Breve,Ȇ,&#518;
Lowercase E With Inverted Breve,ȇ,&#519;
Uppercase I With Double Grave,Ȉ,&#520;
Lowercase I With Double Grave,ȉ,&#521;
Uppercase I With Inverted Breve,Ȋ,&#522;
Lowercase I With Inverted Breve,ȋ,&#523;
Uppercase O With Double Grave,Ȍ,&#524;
Lowercase O With Double Grave,ȍ,&#525;
Uppercase O With Inverted Breve,Ȏ,&#526;
Lowercase O With Inverted Breve,ȏ,&#527;
Uppercase R With Double Grave,Ȑ,&#528;
Lowercase R With Double Grave,ȑ,&#529;
Uppercase R With Inverted Breve,Ȓ,&#530;
Lowercase R With Inverted Breve,ȓ,&#531;
Uppercase U With Double Grave,Ȕ,&#532;
Lowercase U With Double Grave,ȕ,&#533;
Uppercase U With Inverted Breve,Ȗ,&#534;
Lowercase U With Inverted Breve,ȗ,&#535;
Uppercase S With Comma Below,Ș,&#536;
Lowercase S With Comma Below,ș,&#537;
Uppercase T With Comma Below,Ț,&#538;
Lowercase T With Comma Below,ț,&#539;
Uppercase Yogh,Ȝ,&#540;
Lowercase Yogh,ȝ,&#541;
Uppercase H With Caron,Ȟ,&#542;
Lowercase H With Caron,ȟ,&#543;
Uppercase N With Long Right Leg,Ƞ,&#544;
Lowercase D With Curl,ȡ,&#545;
Uppercase Ou,Ȣ,&#546;
Lowercase Ou,ȣ,&#547;
Uppercase Z With Hook,Ȥ,&#548;
Lowercase Z With Hook,ȥ,&#549;
Uppercase a With Dot Above,Ȧ,&#550;
Lowercase a With Dot Above,ȧ,&#551;
Uppercase E With Cedilla,Ȩ,&#552;
Lowercase E With Cedilla,ȩ,&#553;
Uppercase O With Diaeresis and Macron,Ȫ,&#554;
Lowercase O With Diaeresis and Macron,ȫ,&#555;
Uppercase O With Tilde and Macron,Ȭ,&#556;
Lowercase O With Tilde and Macron,ȭ,&#557;
Uppercase O With Dot Above,Ȯ,&#558;
Lowercase O With Dot Above,ȯ,&#559;
Uppercase O With Dot Above and Macron,Ȱ,&#560;
Lowercase O With Dot Above and Macron,ȱ,&#561;
Uppercase Y With Macron,Ȳ,&#562;
Lowercase Y With Macron,ȳ,&#563;
Lowercase L With Curl,ȴ,&#564;
Lowercase N With Curl,ȵ,&#565;
Lowercase T With Curl,ȶ,&#566;
Lowercase Dotless J,ȷ,&#567;
Lowercase Db Digraph,ȸ,&#568;
Lowercase Qp Digraph,ȹ,&#569;
Uppercase a With Stroke,Ⱥ,&#570;
Uppercase C With Stroke,Ȼ,&#571;
Lowercase C With Stroke,ȼ,&#572;
Uppercase L With Bar,Ƚ,&#573;
Uppercase T With Diagonal Stroke,Ⱦ,&#574;
Lowercase S With Swash Tail,ȿ,&#575;
Lowercase Z With Swash Tail,ɀ,&#576;
Uppercase Glottal Stop,Ɂ,&#577;
Lowercase Glottal Stop,ɂ,&#578;
Uppercase B With Stroke,Ƀ,&#579;
Uppercase U Bar,Ʉ,&#580;
Uppercase Turned V,Ʌ,&#581;
Uppercase E With Stroke,Ɇ,&#582;
Lowercase E With Stroke,ɇ,&#583;
Uppercase J With Stroke,Ɉ,&#584;
Lowercase J With Stroke,ɉ,&#585;
Uppercase Small Q With Hook Tail,Ɋ,&#586;
Lowercase Q With Hook Tail,ɋ,&#587;
Uppercase R With Stroke,Ɍ,&#588;
Lowercase R With Stroke,ɍ,&#589;
Uppercase Y With Stroke,Ɏ,&#590;
Lowercase Y With Stroke,ɏ,&#591;
Lowercase Turned A,ɐ,&#592;
Lowercase Alpha,ɑ,&#593;
Lowercase Turned Alpha,ɒ,&#594;
Lowercase B With Hook,ɓ,&#595;
Lowercase Open O,ɔ,&#596;
Lowercase C With Curl,ɕ,&#597;
Lowercase D With Tail,ɖ,&#598;
Lowercase D With Hook,ɗ,&#599;
Lowercase Reversed E,ɘ,&#600;
Lowercase Schwa,ə,&#601;
Lowercase Schwa With Hook,ɚ,&#602;
Lowercase Open E,ɛ,&#603;
Lowercase Reversed Open E,ɜ,&#604;
Lowercase Reversed Open E With Hook,ɝ,&#605;
Lowercase Closed Reversed Open E,ɞ,&#606;
